age,gender,educ,nateduc,degree,incom16,income
NA,Female,12th Grade,About right,Highschool,Below average,NA
60-69 Years old,Male,4 Years of College,NA,Bachelors,Far above average,Refused
NA,NA,NA,Too little,Less than highschool,NA,Refused
NA,NA,NA,NA,Less than highschool,NA,Refused
NA,Female,2 Years of College,Too little,Highschool,Average,NA
30-39 Years old,Female,5 Years of College,About right,Bachelors,Average,NA
20-29 Years old,Male,12th Grade,Too little,Highschool,Average,"$25,000 or more"
NA,Female,7 Years of College,NA,Graduate,Average,"$25,000 or more"
NA,Male,1 Year of College,NA,Highschool,Below average,"$25,000 or more"
NA,Female,4 Years of College,NA,Bachelors,Above average,"$8000 to $9,999"
30-39 Years old,Male,11th Grade,Too little,Less than highschool,Below average,"$25,000 or more"
20-29 Years old,Male,3 Years of College,NA,Highschool,Average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Graduate,Far above average,Refused
20-29 Years old,Male,2 Years of College,Too little,Highschool,Above average,NA
NA,Male,6 Years of College,About right,Graduate,Average,Refused
20-29 Years old,Female,2 Years of College,NA,Highschool,Average,"$25,000 or more"
NA,Female,12th Grade,Too little,Highschool,Far below average,"$20,000 to $24,999"
NA,Female,2 Years of College,NA,Associate/Junior College,Average,NA
20-29 Years old,Female,3 Years of College,NA,Associate/Junior College,Average,"$25,000 or more"
30-39 Years old,Female,5 Years of College,NA,Graduate,Below average,"$25,000 or more"
NA,Male,4 Years of College,NA,Bachelors,Average,Refused
30-39 Years old,Male,4 Years of College,Too little,Bachelors,Average,"$25,000 or more"
NA,Female,4 Years of College,Too much,Bachelors,Above average,Refused
30-39 Years old,Female,6 Years of College,About right,Bachelors,Far below average,"$8000 to $9,999"
30-39 Years old,Male,2 Years of College,Too little,Associate/Junior College,Below average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Below average,"$25,000 or more"
NA,Female,8 Years of College,NA,Graduate,Average,"$25,000 or more"
NA,Female,4 Years of College,NA,Graduate,Above average,Refused
30-39 Years old,Male,12th Grade,Too little,Highschool,Average,NA
NA,Male,12th Grade,NA,Highschool,Far below average,"$25,000 or more"
30-39 Years old,Female,4 Years of College,NA,Graduate,Below average,"$25,000 or more"
NA,Female,6 Years of College,NA,Bachelors,Average,"$25,000 or more"
30-39 Years old,Male,8 Years of College,Too little,Graduate,Above average,"$25,000 or more"
NA,Male,4 Years of College,Too little,Bachelors,Average,"$25,000 or more"
NA,Female,12th Grade,Too little,Highschool,Below average,"$25,000 or more"
NA,Female,1 Year of College,NA,Highschool,Average,"$25,000 or more"
NA,Female,8th Grade,NA,Less than highschool,Average,"$20,000 to $24,999"
NA,Male,1 Year of College,Too little,Highschool,Above average,"$25,000 or more"
NA,NA,NA,NA,Less than highschool,NA,Refused
20-29 Years old,Male,5 Years of College,NA,Bachelors,Average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Bachelors,Above average,Refused
NA,Female,4 Years of College,NA,Bachelors,Far below average,"$25,000 or more"
20-29 Years old,Female,4 Years of College,NA,Bachelors,Average,"$10,000 to $14,999"
NA,Male,8 Years of College,Too little,Graduate,Average,Refused
20-29 Years old,Female,12th Grade,NA,Highschool,Average,NA
30-39 Years old,Male,5 Years of College,NA,Bachelors,Far below average,NA
20-29 Years old,Female,2 Years of College,Too little,Highschool,Far below average,"$15,000 to $19,999"
30-39 Years old,Male,2 Years of College,NA,Highschool,Below average,"$25,000 or more"
NA,Male,6 Years of College,NA,Graduate,Below average,"$25,000 or more"
NA,Male,4 Years of College,Too little,Graduate,Average,Refused
NA,Female,4 Years of College,Too little,Bachelors,Below average,"$20,000 to $24,999"
30-39 Years old,Female,1 Year of College,NA,Highschool,Above average,"$25,000 or more"
20-29 Years old,Female,4 Years of College,Too little,Bachelors,Above average,Refused
NA,Female,2 Years of College,Too little,Highschool,Above average,"$25,000 or more"
80 Years old or over,Female,4 Years of College,NA,Bachelors,Far below average,"$25,000 or more"
NA,Male,2 Years of College,NA,Highschool,Average,"$25,000 or more"
NA,Male,3rd Grade,About right,Less than highschool,Below average,"$20,000 to $24,999"
80 Years old or over,Male,1 Year of College,NA,Highschool,Far below average,"$25,000 or more"
NA,Male,2 Years of College,Too much,Associate/Junior College,Below average,"$25,000 or more"
NA,Male,4 Years of College,About right,Bachelors,Below average,"$25,000 or more"
NA,NA,8 Years of College,NA,Highschool,NA,NA
NA,Male,2 Years of College,NA,Associate/Junior College,Far below average,"$25,000 or more"
NA,Male,5 Years of College,NA,Bachelors,Average,"$25,000 or more"
NA,Female,5 Years of College,Too little,Bachelors,Average,"$25,000 or more"
NA,Male,2 Years of College,NA,Associate/Junior College,Far below average,"$25,000 or more"
NA,Female,3 Years of College,NA,Associate/Junior College,Average,"$25,000 or more"
NA,Female,4 Years of College,About right,Bachelors,Average,"$25,000 or more"
NA,Female,6th Grade,Too little,Less than highschool,Below average,NA
50-59 Years old,Male,2 Years of College,NA,Bachelors,Average,"$25,000 or more"
NA,Female,12th Grade,NA,Highschool,Below average,"$25,000 or more"
NA,Male,2 Years of College,NA,Highschool,Average,"$25,000 or more"
NA,Male,4 Years of College,Too little,Highschool,Average,"$25,000 or more"
NA,Female,12th Grade,NA,Highschool,Above average,"$25,000 or more"
30-39 Years old,Male,12th Grade,Too little,Highschool,Below average,"$25,000 or more"
NA,Female,12th Grade,Too little,Highschool,Average,"$25,000 or more"
NA,Female,6 Years of College,Too little,Graduate,Far below average,"$25,000 or more"
NA,Male,4 Years of College,NA,Bachelors,Below average,"$25,000 or more"
NA,Female,4 Years of College,About right,Bachelors,Above average,"$25,000 or more"
NA,Male,4 Years of College,NA,Bachelors,Average,NA
NA,Female,10th Grade,NA,Less than highschool,Below average,"$20,000 to $24,999"
30-39 Years old,Female,6 Years of College,Too little,Bachelors,Average,"$25,000 or more"
20-29 Years old,Male,12th Grade,NA,Highschool,Below average,NA
NA,Male,4 Years of College,Too little,Bachelors,Average,"$10,000 to $14,999"
NA,Female,4 Years of College,Too little,Bachelors,Below average,Refused
NA,Male,3 Years of College,Too little,Highschool,Below average,Refused
NA,Female,4 Years of College,Too little,Bachelors,Average,Refused
30-39 Years old,Female,12th Grade,Too little,Highschool,Below average,"$10,000 to $14,999"
20-29 Years old,Male,1 Year of College,NA,Highschool,Below average,"$25,000 or more"
NA,Female,2 Years of College,Too little,Highschool,Average,NA
NA,Female,3 Years of College,Too little,Associate/Junior College,Below average,"$25,000 or more"
NA,Male,4 Years of College,NA,Graduate,Far below average,Refused
NA,Male,2 Years of College,About right,Associate/Junior College,Above average,"$20,000 to $24,999"
NA,Male,6 Years of College,Too little,Graduate,Average,"$25,000 or more"
NA,Female,6 Years of College,NA,Graduate,Above average,"$25,000 or more"
NA,Male,5 Years of College,Too little,Bachelors,Average,Refused
NA,Female,6 Years of College,NA,Bachelors,Far below average,"$25,000 or more"
70-79 Years old,Male,1 Year of College,Too little,Highschool,Above average,"$25,000 or more"
NA,Female,6 Years of College,Too little,Graduate,Average,"$25,000 or more"
NA,Female,2 Years of College,NA,Associate/Junior College,Average,"$25,000 or more"
60-69 Years old,Male,8th Grade,NA,Less than highschool,Far above average,"$10,000 to $14,999"
NA,Male,4 Years of College,Too much,Bachelors,Average,"$25,000 or more"
NA,Male,12th Grade,Too little,Highschool,Below average,NA
NA,Female,2 Years of College,Too little,Associate/Junior College,Average,"$25,000 or more"
NA,Female,8 Years of College,NA,Graduate,Below average,Refused
20-29 Years old,Female,3 Years of College,NA,Highschool,Above average,"$25,000 or more"
NA,Male,8 Years of College,Too much,Graduate,Below average,Refused
NA,Male,8 Years of College,NA,Graduate,Below average,Refused
30-39 Years old,Male,6 Years of College,NA,Bachelors,Average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Bachelors,Above average,"$25,000 or more"
NA,Male,8 Years of College,NA,Graduate,Average,"$25,000 or more"
20-29 Years old,Male,4 Years of College,NA,Graduate,Average,"$25,000 or more"
30-39 Years old,Male,6 Years of College,Too little,Graduate,Below average,"$25,000 or more"
30-39 Years old,Female,6 Years of College,NA,Bachelors,Above average,Refused
30-39 Years old,Female,6 Years of College,Too little,Graduate,Below average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Bachelors,Above average,NA
NA,Female,1 Year of College,Too little,Highschool,Far above average,"$25,000 or more"
NA,NA,1 Year of College,NA,Highschool,Average,"Under $1,000"
NA,Female,4 Years of College,NA,Bachelors,Average,"$25,000 or more"
80 Years old or over,Female,4 Years of College,NA,Bachelors,Average,"$25,000 or more"
NA,Female,1 Year of College,NA,Highschool,Below average,"$20,000 to $24,999"
NA,Male,4 Years of College,Too little,Bachelors,Above average,"$25,000 or more"
30-39 Years old,Female,4 Years of College,About right,Bachelors,Average,Refused
NA,Female,12th Grade,Too little,Highschool,Average,"$25,000 or more"
NA,Female,12th Grade,About right,Highschool,Average,"$25,000 or more"
20-29 Years old,Male,5 Years of College,NA,Bachelors,Above average,"$25,000 or more"
20-29 Years old,Female,4 Years of College,NA,Graduate,Above average,Refused
20-29 Years old,Female,4 Years of College,Too little,Bachelors,Above average,Refused
30-39 Years old,Male,7 Years of College,NA,Graduate,Average,Refused
40-49 Years old,Female,6 Years of College,Too little,Graduate,Above average,Refused
NA,Female,6 Years of College,NA,Graduate,Average,Refused
NA,Female,4 Years of College,Too little,Graduate,Above average,Refused
20-29 Years old,Female,4 Years of College,Too little,Bachelors,Average,"$25,000 or more"
NA,Male,12th Grade,Too much,Highschool,Average,"$25,000 or more"
80 Years old or over,Female,4 Years of College,Too little,Bachelors,Below average,"$25,000 or more"
NA,Female,12th Grade,Too little,Highschool,Average,"$10,000 to $14,999"
